Entity,Code,Day,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron
Papua New Guinea,PNG,2021-09-20,0,0,0,0,0,0,140,0,3,0,0,0
Papua New Guinea,PNG,2021-10-04,0,0,0,0,0,0,152,0,4,0,0,0
Papua New Guinea,PNG,2021-10-18,0,0,0,0,0,0,58,0,0,0,0,0
Paraguay,PRY,2021-02-08,0,0,3,0,0,0,0,0,63,0,0,0
Paraguay,PRY,2021-02-22,0,0,12,0,0,0,0,0,49,0,0,0
Paraguay,PRY,2021-03-08,0,0,16,0,0,0,0,2,52,0,0,0
Paraguay,PRY,2021-03-22,0,0,24,0,0,0,0,1,30,0,0,0
Paraguay,PRY,2021-04-19,0,0,21,0,0,0,1,2,7,0,0,0
Paraguay,PRY,2021-06-14,0,0,41,0,0,0,0,0,0,0,0,0
Paraguay,PRY,2021-07-12,0,0,42,0,0,0,11,0,6,0,0,0
Paraguay,PRY,2021-08-09,0,0,16,0,0,0,45,0,3,0,0,0
Paraguay,PRY,2021-08-23,0,0,8,0,0,0,51,0,1,0,0,0
Paraguay,PRY,2021-09-06,0,0,3,0,0,0,75,0,0,0,0,0
Paraguay,PRY,2021-10-04,0,0,3,0,0,0,29,0,1,0,0,0
Peru,PER,2020-05-11,0,0,0,0,0,0,0,0,49,0,0,0
Peru,PER,2020-05-25,0,0,0,0,0,0,0,0,50,0,0,0
Peru,PER,2020-06-22,0,0,0,0,0,0,0,0,92,0,0,0
Peru,PER,2020-07-06,0,0,0,0,0,0,0,0,35,0,0,0
Peru,PER,2020-08-17,0,0,0,0,0,0,0,0,49,0,0,0
Peru,PER,2020-08-31,0,0,0,0,0,0,0,0,105,0,0,0
Peru,PER,2020-09-14,0,0,0,0,0,0,0,0,44,0,0,0
Peru,PER,2020-09-28,0,0,0,0,0,0,0,0,33,0,0,0
Peru,PER,2020-10-26,0,0,0,0,0,0,0,0,127,0,0,0
Peru,PER,2020-11-23,0,0,0,0,0,0,0,0,32,0,0,0
Peru,PER,2020-12-07,0,0,0,0,0,0,0,0,33,0,0,0
Peru,PER,2020-12-21,0,0,1,0,0,0,0,0,129,0,0,0
Peru,PER,2021-01-04,0,0,11,0,0,0,0,1,95,2,0,0
Peru,PER,2021-01-25,0,0,8,0,0,0,0,2,82,31,0,0
Peru,PER,2021-02-08,0,1,11,0,0,0,0,0,56,23,0,0
Peru,PER,2021-02-22,0,0,13,0,0,0,0,0,66,40,0,0
Peru,PER,2021-03-08,0,2,17,0,0,0,0,1,45,90,0,0
Peru,PER,2021-03-22,0,0,29,0,0,0,0,2,31,176,0,0
Peru,PER,2021-04-05,0,0,27,0,0,0,0,7,25,131,0,0
Peru,PER,2021-04-19,0,0,85,0,0,0,0,9,29,399,0,0
Peru,PER,2021-05-03,0,0,45,0,0,0,0,0,9,253,0,0
Peru,PER,2021-05-17,0,0,56,0,0,0,3,2,8,243,0,0
Peru,PER,2021-05-31,0,0,67,0,0,0,0,0,6,206,1,0
Peru,PER,2021-06-14,0,0,155,0,0,0,3,0,11,621,5,0
Peru,PER,2021-06-28,0,0,106,0,0,0,10,0,13,343,7,0
Peru,PER,2021-07-12,0,0,145,0,0,0,8,0,9,280,7,0
Peru,PER,2021-07-26,0,0,191,0,0,0,51,0,2,321,21,0
Peru,PER,2021-08-09,0,0,174,0,0,0,100,0,7,186,32,0
Peru,PER,2021-08-23,0,0,248,0,0,0,135,0,5,214,43,0
Peru,PER,2021-09-06,0,0,165,0,0,0,253,0,3,147,35,0
Peru,PER,2021-09-20,0,0,194,0,0,0,418,0,1,115,28,0
Peru,PER,2021-10-04,0,0,133,0,0,0,578,0,0,69,3,0
Peru,PER,2021-10-18,0,0,49,0,0,0,647,0,0,20,7,0
Peru,PER,2021-11-01,0,0,22,0,0,0,644,0,0,9,9,0
Peru,PER,2021-11-15,0,0,9,0,0,0,376,0,0,6,3,0
Philippines,PHL,2020-11-09,0,0,0,0,0,0,0,0,141,0,0,0
Philippines,PHL,2020-11-23,0,0,0,0,0,0,0,0,178,0,0,0
Philippines,PHL,2020-12-07,0,0,0,0,0,0,0,0,233,0,0,0
Philippines,PHL,2020-12-21,0,0,0,0,0,0,0,1,297,0,0,0
Philippines,PHL,2021-01-04,0,0,0,0,0,0,0,5,233,0,0,0
Philippines,PHL,2021-01-11,0,0,0,0,0,1,0,16,323,0,0,0
Philippines,PHL,2021-01-25,0,0,0,0,0,1,0,34,495,0,0,0
Philippines,PHL,2021-02-08,4,0,0,0,0,0,0,19,533,0,0,0
Philippines,PHL,2021-02-22,50,0,1,0,0,3,0,77,320,0,0,0
Philippines,PHL,2021-03-08,102,0,0,0,0,0,0,73,128,0,0,0
Philippines,PHL,2021-03-22,363,0,1,0,0,0,0,293,123,0,0,0
Philippines,PHL,2021-04-05,548,0,0,0,0,2,0,372,94,0,0,0
Philippines,PHL,2021-04-19,188,0,0,0,0,0,4,144,50,0,0,0
Philippines,PHL,2021-05-03,189,0,0,0,0,0,3,164,38,0,0,0
Philippines,PHL,2021-05-17,165,0,0,0,0,0,11,149,18,0,0,0
Philippines,PHL,2021-05-31,164,0,0,0,0,0,2,144,10,0,0,0
Philippines,PHL,2021-06-14,284,0,1,0,0,1,2,260,27,0,0,0
Philippines,PHL,2021-06-28,409,0,0,0,0,0,40,348,39,0,0,0
Philippines,PHL,2021-07-12,335,0,0,0,0,0,252,230,69,0,0,0
Philippines,PHL,2021-07-26,252,0,0,0,0,0,541,244,77,0,0,0
Philippines,PHL,2021-08-09,115,0,0,0,0,0,1085,138,62,0,0,0
Philippines,PHL,2021-08-23,42,0,0,0,0,0,1025,41,11,0,0,0
Philippines,PHL,2021-09-06,0,0,0,0,0,0,259,2,1,0,0,0
Poland,POL,2020-05-11,0,0,0,0,0,0,0,0,59,0,0,0
Poland,POL,2020-12-21,0,0,0,0,0,0,0,0,53,0,0,0
Poland,POL,2021-01-04,0,0,0,0,0,0,0,1,119,0,0,0
Poland,POL,2021-01-11,0,0,0,0,0,0,0,1,55,0,0,0
Poland,POL,2021-01-25,0,0,0,0,0,0,0,24,235,0,0,0
Poland,POL,2021-02-08,0,0,0,0,0,0,0,69,310,0,0,0
Poland,POL,2021-02-22,4,0,0,0,0,0,0,405,320,0,0,0
Poland,POL,2021-03-08,5,0,0,0,0,6,0,1133,341,0,0,0
Poland,POL,2021-03-22,4,0,0,0,0,4,0,1958,180,0,0,0
Poland,POL,2021-04-05,6,0,0,0,0,0,0,1753,44,0,0,0
Poland,POL,2021-04-19,4,0,6,0,0,0,0,2742,29,0,0,0
Poland,POL,2021-05-03,9,0,3,0,0,0,16,2597,10,0,0,0
Poland,POL,2021-05-17,9,0,0,0,0,0,43,2502,13,0,0,0
Poland,POL,2021-05-31,1,0,7,0,0,0,37,1574,7,0,0,0
Poland,POL,2021-06-14,3,0,4,0,0,0,26,574,12,0,2,0
Poland,POL,2021-06-28,0,0,2,0,0,0,31,110,6,1,0,0
Poland,POL,2021-07-12,2,0,2,0,0,0,112,63,7,0,0,0
Poland,POL,2021-07-26,0,0,1,0,0,0,212,20,6,0,4,0
Poland,POL,2021-08-09,0,0,1,0,0,0,313,7,10,0,2,0
Poland,POL,2021-08-23,0,0,0,0,0,0,747,2,1,0,0,0
Poland,POL,2021-09-06,0,0,0,0,0,0,933,2,0,0,0,0
Poland,POL,2021-09-20,0,0,0,0,0,0,1420,0,0,0,0,0
Poland,POL,2021-10-04,0,0,0,0,0,0,1701,2,2,0,0,0
Poland,POL,2021-10-18,0,0,0,0,0,0,2227,0,0,0,0,0
Poland,POL,2021-11-01,0,0,0,0,0,0,2673,0,3,0,0,0
Poland,POL,2021-11-15,0,0,0,0,0,0,3242,0,0,0,0,0
Poland,POL,2021-11-29,0,0,0,0,0,0,525,0,0,0,0,0
Portugal,PRT,2020-06-08,0,0,0,0,0,0,0,0,92,0,0,0
Portugal,PRT,2020-06-22,0,0,0,0,0,0,0,0,37,0,0,0
Portugal,PRT,2020-07-06,0,0,0,0,0,0,0,0,53,0,0,0
Portugal,PRT,2020-08-31,0,0,0,0,0,0,0,0,36,0,0,0
Portugal,PRT,2020-11-23,0,0,0,0,0,0,0,1,371,0,0,0
Portugal,PRT,2020-12-07,0,0,0,0,0,0,0,0,32,0,0,0
Portugal,PRT,2020-12-21,0,0,0,0,0,0,0,22,22,0,0,0
Portugal,PRT,2021-01-04,1,0,0,0,0,0,0,76,217,0,0,0
Portugal,PRT,2021-01-11,2,0,0,0,0,0,0,38,198,0,0,0
Portugal,PRT,2021-01-25,0,0,0,0,0,0,0,119,618,0,0,0
Portugal,PRT,2021-02-08,1,0,0,0,0,0,0,92,108,0,0,0
Portugal,PRT,2021-02-22,7,0,10,0,0,0,0,491,393,0,0,0
Portugal,PRT,2021-03-08,27,0,11,0,2,2,0,590,103,0,0,0
Portugal,PRT,2021-03-22,14,0,13,0,0,2,0,347,67,0,0,0
Portugal,PRT,2021-04-05,7,0,7,0,0,0,0,54,2,0,0,0
Portugal,PRT,2021-04-19,22,0,65,8,0,4,1,1444,41,1,0,0
Portugal,PRT,2021-05-03,7,0,13,0,0,1,4,63,10,0,0,0
Portugal,PRT,2021-05-17,22,0,25,1,0,11,63,891,48,0,0,0
Portugal,PRT,2021-05-31,1,0,7,0,0,0,77,24,1,0,0,0
Portugal,PRT,2021-06-14,2,0,24,0,0,8,671,520,7,1,14,0
Portugal,PRT,2021-06-28,4,0,12,0,0,1,975,169,2,0,7,0
Portugal,PRT,2021-07-12,0,0,3,0,0,1,1056,69,1,0,2,0
Portugal,PRT,2021-07-26,1,0,3,0,0,1,1231,12,2,0,0,0
Portugal,PRT,2021-08-09,0,0,2,0,0,0,947,5,1,0,0,0
Portugal,PRT,2021-08-23,0,0,0,0,0,0,1000,0,2,0,0,0
Portugal,PRT,2021-09-06,0,0,2,0,0,0,1107,0,0,0,0,0
Portugal,PRT,2021-09-20,0,0,7,0,0,0,1085,0,0,0,0,0
Portugal,PRT,2021-10-04,0,0,0,0,0,0,1040,0,0,0,0,0
Portugal,PRT,2021-10-18,0,0,0,0,0,0,888,0,0,0,0,0
Portugal,PRT,2021-11-01,0,0,0,0,0,0,1074,0,1,0,0,0
Portugal,PRT,2021-11-15,0,0,0,0,0,0,917,0,1,0,0,0
Portugal,PRT,2021-11-29,0,0,0,0,0,0,359,0,0,0,0,13
Qatar,QAT,2020-05-11,0,0,0,0,0,0,0,0,172,0,0,0
Qatar,QAT,2020-05-25,0,0,0,0,0,0,0,0,175,0,0,0
Qatar,QAT,2020-06-08,0,0,0,0,0,0,0,0,179,0,0,0
Qatar,QAT,2020-06-22,0,0,0,0,0,0,0,0,154,0,0,0
Qatar,QAT,2020-07-06,0,0,0,0,0,0,0,0,97,0,0,0
Qatar,QAT,2020-07-20,0,0,0,0,0,0,0,0,61,0,0,0
Qatar,QAT,2020-08-17,0,0,0,0,0,0,0,0,90,0,0,0
Qatar,QAT,2020-08-31,0,0,0,0,0,0,0,0,47,0,0,0
Qatar,QAT,2020-09-14,0,0,0,0,0,0,0,0,57,0,0,0
Qatar,QAT,2020-10-12,0,0,0,0,0,0,0,0,34,0,0,0
Qatar,QAT,2021-01-04,1,0,0,0,0,0,0,9,136,0,0,0
Qatar,QAT,2021-02-08,12,0,0,0,0,0,0,22,34,0,0,0
Qatar,QAT,2021-02-22,26,0,0,0,0,0,0,36,32,0,0,0
Qatar,QAT,2021-03-08,33,0,0,0,0,0,0,47,10,0,0,0
Qatar,QAT,2021-03-22,84,0,0,0,0,0,0,34,3,0,0,0
Qatar,QAT,2021-04-05,53,0,0,0,0,0,0,14,4,0,0,0
Qatar,QAT,2021-04-19,97,0,0,3,0,3,4,10,2,0,0,0
Qatar,QAT,2021-05-03,208,0,0,3,0,0,61,33,45,0,0,0
Qatar,QAT,2021-05-17,85,0,0,0,0,0,53,19,38,0,0,0
Qatar,QAT,2021-05-31,17,0,0,0,0,0,31,14,16,0,0,0
Qatar,QAT,2021-06-14,10,0,0,0,0,0,43,5,0,0,0,0
Qatar,QAT,2021-08-23,0,0,0,0,0,0,520,0,0,0,0,0
Qatar,QAT,2021-09-06,0,0,0,0,0,0,444,0,0,0,0,0
Qatar,QAT,2021-09-20,0,0,0,0,0,0,170,0,0,0,0,0
Qatar,QAT,2021-10-04,0,0,0,0,0,0,30,0,0,0,0,0
Romania,ROU,2020-05-11,0,0,0,0,0,0,0,0,33,0,0,0
Romania,ROU,2020-08-03,0,0,0,0,0,0,0,0,81,0,0,0
Romania,ROU,2020-08-31,0,0,0,0,0,0,0,0,79,0,0,0
Romania,ROU,2020-09-14,0,0,0,0,0,0,0,0,48,0,0,0
Romania,ROU,2020-09-28,0,0,0,0,0,0,0,0,63,0,0,0
Romania,ROU,2020-10-26,0,0,0,0,0,0,0,0,53,0,0,0
Romania,ROU,2020-11-23,0,0,0,0,0,0,0,0,42,0,0,0
Romania,ROU,2020-12-07,0,0,0,0,0,0,0,0,153,0,0,0
Romania,ROU,2020-12-21,0,0,0,0,0,0,0,1,99,0,0,0
Romania,ROU,2021-01-04,0,0,0,0,0,0,0,0,95,0,0,0
Romania,ROU,2021-01-11,0,0,0,0,0,0,0,6,60,0,0,0
Romania,ROU,2021-01-25,0,0,0,0,0,0,0,20,71,0,0,0
Romania,ROU,2021-02-08,0,0,0,0,0,0,0,79,62,0,0,0
Romania,ROU,2021-02-22,0,0,0,0,0,0,0,131,25,0,0,0
Romania,ROU,2021-03-08,0,0,2,0,0,0,0,197,61,0,0,0
Romania,ROU,2021-03-22,0,0,0,0,0,0,0,235,22,0,0,0
Romania,ROU,2021-04-05,2,0,1,0,0,0,13,259,17,0,0,0
Romania,ROU,2021-04-19,0,0,1,0,2,0,0,172,9,0,0,0
Romania,ROU,2021-05-03,1,0,2,0,0,0,3,121,4,0,0,0
Romania,ROU,2021-05-17,4,0,0,1,0,0,10,150,2,0,0,0
Romania,ROU,2021-05-31,1,0,5,0,0,0,12,133,1,0,0,0
Romania,ROU,2021-06-14,0,0,4,0,0,0,23,90,2,0,0,0
Romania,ROU,2021-06-28,0,0,2,0,0,0,23,47,0,0,0,0
Romania,ROU,2021-07-12,0,0,0,0,0,0,35,21,2,0,0,0
Romania,ROU,2021-07-26,0,0,0,0,0,0,78,17,1,0,1,0
Romania,ROU,2021-08-09,0,0,0,0,0,0,253,7,2,0,0,0
Romania,ROU,2021-08-23,0,0,0,0,0,0,278,3,0,0,0,0
Romania,ROU,2021-09-06,0,0,0,0,0,0,585,1,0,0,0,0
Romania,ROU,2021-09-20,0,0,0,0,0,0,1054,1,0,0,0,0
Romania,ROU,2021-10-04,0,0,0,0,0,0,977,1,0,0,0,0
Romania,ROU,2021-10-18,0,0,0,0,0,0,836,0,0,0,0,0
Romania,ROU,2021-11-01,0,0,0,0,0,0,402,0,0,0,0,0
Romania,ROU,2021-11-15,0,0,0,0,0,0,97,0,0,0,0,0
Russia,RUS,2020-05-11,0,0,0,0,0,0,0,0,65,0,0,0
Russia,RUS,2020-05-25,0,0,0,0,0,0,0,0,122,0,0,0
Russia,RUS,2020-06-08,0,0,0,0,0,0,0,0,154,0,0,0
Russia,RUS,2020-06-22,0,0,0,0,0,0,0,0,63,0,0,0
Russia,RUS,2020-07-06,0,0,0,0,0,0,0,0,37,0,0,0
Russia,RUS,2020-07-20,0,0,0,0,0,0,0,0,77,0,0,0
Russia,RUS,2020-08-03,0,0,0,0,0,0,0,0,53,0,0,0
Russia,RUS,2020-08-17,0,0,0,0,0,0,0,0,59,0,0,0
Russia,RUS,2020-08-31,0,0,0,0,0,0,0,0,73,0,0,0
Russia,RUS,2020-09-14,0,0,0,0,0,0,0,0,134,0,0,0
Russia,RUS,2020-09-28,0,0,0,0,0,0,0,0,228,0,0,0
Russia,RUS,2020-10-12,0,0,0,0,0,0,0,0,228,0,0,0
Russia,RUS,2020-10-26,0,0,0,0,0,0,0,0,104,0,0,0
Russia,RUS,2020-11-09,0,0,0,0,0,0,0,0,91,0,0,0
Russia,RUS,2020-11-23,0,0,0,0,0,0,0,0,275,0,0,0
Russia,RUS,2020-12-07,0,0,0,0,0,0,0,0,145,0,0,0
Russia,RUS,2020-12-21,0,0,0,0,0,0,0,0,188,0,0,0
Russia,RUS,2021-01-04,0,0,0,0,0,0,0,1,246,0,0,0
Russia,RUS,2021-01-11,0,0,0,0,0,0,0,0,48,0,0,0
Russia,RUS,2021-01-25,1,0,0,0,0,0,0,4,69,0,0,0
Russia,RUS,2021-02-22,4,0,0,0,0,0,0,14,285,0,0,0
Russia,RUS,2021-03-08,1,0,0,0,0,0,1,37,149,0,0,0
Russia,RUS,2021-03-22,4,0,0,0,0,0,0,40,217,0,0,0
Russia,RUS,2021-04-05,3,0,0,0,0,0,1,78,138,0,0,0
Russia,RUS,2021-04-19,5,0,0,1,0,0,4,58,245,0,0,0
Russia,RUS,2021-05-03,4,0,0,0,0,1,24,62,219,0,0,0
Russia,RUS,2021-05-17,4,0,1,0,0,3,91,47,141,0,0,0
Russia,RUS,2021-05-31,0,0,0,0,0,1,322,42,109,0,0,0
Russia,RUS,2021-06-14,3,0,0,0,0,3,746,14,71,0,0,0
Russia,RUS,2021-06-28,0,0,0,0,0,0,517,8,16,0,0,0
Russia,RUS,2021-07-12,0,0,0,0,0,0,659,1,3,0,0,0
Russia,RUS,2021-07-26,0,0,0,0,0,0,204,0,10,0,0,0
Russia,RUS,2021-08-09,0,0,0,0,0,0,241,1,14,0,0,0
Russia,RUS,2021-08-23,0,0,0,0,0,0,214,0,13,0,0,0
Russia,RUS,2021-09-06,0,0,0,0,0,0,276,0,0,0,0,0
Russia,RUS,2021-09-20,0,0,0,0,0,0,378,0,1,0,0,0
Russia,RUS,2021-10-04,0,0,0,0,0,0,395,0,2,0,0,0
Russia,RUS,2021-10-18,0,0,0,0,0,0,669,0,0,0,0,0
Russia,RUS,2021-11-01,0,0,0,0,0,0,639,0,0,0,0,0
Russia,RUS,2021-11-15,0,0,0,0,0,0,162,0,0,0,0,0
Russia,RUS,2021-11-29,0,0,0,0,0,0,56,0,0,0,0,0
Rwanda,RWA,2020-08-31,0,0,0,0,0,0,0,0,59,0,0,0
Rwanda,RWA,2020-12-21,0,0,0,0,0,0,0,0,47,0,0,0
Rwanda,RWA,2021-01-25,3,0,0,0,0,2,0,2,49,0,0,0
Rwanda,RWA,2021-06-28,13,0,0,0,0,0,97,1,8,0,0,0
Rwanda,RWA,2021-07-12,6,0,0,0,0,0,50,1,2,0,0,0
Rwanda,RWA,2021-08-09,0,0,0,0,0,0,54,2,0,0,0,0
Rwanda,RWA,2021-09-06,0,0,0,0,0,0,38,0,2,0,0,0
Senegal,SEN,2020-06-22,0,0,0,0,0,0,0,0,62,0,0,0
Senegal,SEN,2021-01-04,0,0,0,0,0,0,0,8,75,0,0,0
Senegal,SEN,2021-01-11,0,0,0,0,0,1,0,1,48,0,0,0
Senegal,SEN,2021-01-25,0,0,0,0,0,0,0,4,39,0,0,0
Senegal,SEN,2021-02-08,0,0,0,0,0,0,0,1,35,0,0,0
Senegal,SEN,2021-06-14,0,0,0,0,0,10,25,3,12,0,0,0
Senegal,SEN,2021-07-26,0,0,0,0,0,0,27,0,3,0,0,0
Senegal,SEN,2021-08-09,0,0,0,0,0,0,34,0,8,0,0,0
Serbia,SRB,2020-05-11,0,0,0,0,0,0,0,0,30,0,0,0
Serbia,SRB,2020-08-03,0,0,0,0,0,0,0,0,32,0,0,0
Serbia,SRB,2020-10-12,0,0,0,0,0,0,0,1,29,0,0,0
Seychelles,SYC,2021-05-31,22,0,0,0,0,0,17,4,1,0,0,0
Seychelles,SYC,2021-06-14,1,0,0,0,0,0,52,1,0,0,0,0
Seychelles,SYC,2021-08-23,0,0,0,0,0,0,97,0,0,0,0,0
Seychelles,SYC,2021-09-06,0,0,0,0,0,0,57,0,0,0,0,0
Seychelles,SYC,2021-09-20,0,0,0,0,0,0,83,0,0,0,0,0
Seychelles,SYC,2021-10-04,0,0,0,0,0,0,59,0,0,0,0,0
Seychelles,SYC,2021-10-18,0,0,0,0,0,0,57,0,1,0,0,0
Singapore,SGP,2020-05-11,0,0,0,0,0,0,0,0,112,0,0,0
Singapore,SGP,2020-05-25,0,0,0,0,0,0,0,0,72,0,0,0
Singapore,SGP,2020-06-08,0,0,0,0,0,0,0,0,61,0,0,0
Singapore,SGP,2020-06-22,0,0,0,0,0,0,0,0,48,0,0,0
Singapore,SGP,2020-07-06,0,0,0,0,0,0,0,0,74,0,0,0
Singapore,SGP,2020-07-20,0,0,0,0,0,0,0,0,73,0,0,0
Singapore,SGP,2020-12-21,0,0,0,0,0,0,0,4,32,0,0,0
Singapore,SGP,2021-01-04,0,1,0,0,0,0,0,6,54,0,0,0
Singapore,SGP,2021-01-11,0,0,0,0,0,0,0,5,32,0,0,0
Singapore,SGP,2021-01-25,0,0,0,0,0,0,0,19,48,0,0,0
Singapore,SGP,2021-02-08,1,0,0,0,3,1,0,18,51,0,0,0
Singapore,SGP,2021-02-22,0,2,0,0,0,0,0,9,31,0,0,0
Singapore,SGP,2021-03-08,7,0,0,1,0,0,0,6,17,0,0,0
Singapore,SGP,2021-03-22,16,0,0,1,0,1,0,10,17,0,0,0
Singapore,SGP,2021-04-05,74,1,1,15,3,3,2,43,22,0,0,0
Singapore,SGP,2021-04-19,57,0,4,26,0,3,31,35,32,0,0,0
Singapore,SGP,2021-05-03,18,0,1,13,0,2,124,20,13,0,0,0
Singapore,SGP,2021-05-17,13,0,0,3,0,0,185,7,12,0,0,0
Singapore,SGP,2021-05-31,12,0,0,0,0,0,298,3,17,0,0,0
Singapore,SGP,2021-06-14,2,0,2,0,0,0,169,2,3,0,0,0
Singapore,SGP,2021-06-28,3,0,0,0,0,0,209,1,4,0,0,0
Singapore,SGP,2021-07-12,1,0,0,0,0,0,70,2,2,0,0,0
Singapore,SGP,2021-07-26,0,0,0,0,0,0,835,0,1,0,0,0
Singapore,SGP,2021-08-09,0,0,0,0,0,0,864,0,0,0,0,0
Singapore,SGP,2021-08-23,0,0,0,0,0,0,642,0,1,0,0,0
Singapore,SGP,2021-09-06,0,0,0,0,0,0,1007,0,0,0,0,0
Singapore,SGP,2021-09-20,0,0,0,0,0,0,700,0,0,0,0,0
Singapore,SGP,2021-10-04,0,0,0,0,0,0,611,0,0,0,0,0
Singapore,SGP,2021-10-18,0,0,0,0,0,0,571,0,0,0,0,0
Singapore,SGP,2021-11-01,0,0,0,0,0,0,537,0,0,0,0,0
Singapore,SGP,2021-11-15,0,0,0,0,0,0,539,0,0,0,0,0
Singapore,SGP,2021-11-29,0,0,0,0,0,0,355,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-02-22,0,1,0,0,2,0,0,1,36,0,0,0
Sint Maarten (Dutch part),SXM,2021-04-05,1,0,0,1,2,0,0,36,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-05-03,0,0,0,0,1,0,1,28,3,0,0,0
Sint Maarten (Dutch part),SXM,2021-05-31,0,0,0,0,9,0,0,102,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-06-14,0,0,0,0,0,0,0,51,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-06-28,0,0,0,0,0,0,0,67,0,0,1,0
Sint Maarten (Dutch part),SXM,2021-07-12,0,0,0,0,0,0,5,34,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-07-26,0,0,1,0,0,0,40,26,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-08-09,0,0,0,0,0,0,139,7,0,0,1,0
Sint Maarten (Dutch part),SXM,2021-08-23,0,0,0,0,0,0,398,27,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-09-06,0,0,0,0,0,0,276,7,0,1,0,0
Sint Maarten (Dutch part),SXM,2021-09-20,0,0,0,0,0,0,146,1,0,1,0,0
Sint Maarten (Dutch part),SXM,2021-10-04,0,0,0,0,0,0,153,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-10-18,0,0,0,0,0,0,34,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-11-01,0,0,0,0,0,0,39,0,0,0,0,0
Slovakia,SVK,2020-12-07,0,0,0,0,0,0,0,1,54,0,0,0
Slovakia,SVK,2021-01-04,0,0,0,0,0,0,0,18,78,0,0,0
Slovakia,SVK,2021-01-11,0,0,0,0,0,0,0,39,13,0,0,0
Slovakia,SVK,2021-01-25,0,0,0,0,0,0,0,21,9,0,0,0
Slovakia,SVK,2021-02-08,0,0,0,0,0,0,0,99,18,0,0,0
Slovakia,SVK,2021-02-22,8,0,0,0,0,0,0,45,9,0,0,0
Slovakia,SVK,2021-03-08,2,0,0,0,0,0,0,417,18,0,0,0
Slovakia,SVK,2021-03-22,7,0,0,0,0,0,33,526,17,0,0,0
Slovakia,SVK,2021-04-05,0,0,0,0,0,0,1,646,13,0,0,0
Slovakia,SVK,2021-04-19,6,0,0,0,0,0,26,581,3,0,0,0
Slovakia,SVK,2021-05-03,3,0,0,1,0,0,0,333,0,0,0,0
Slovakia,SVK,2021-05-17,0,0,0,0,0,0,1,337,0,0,0,0
Slovakia,SVK,2021-05-31,2,0,0,0,0,0,0,683,3,0,3,0
Slovakia,SVK,2021-06-14,2,0,0,0,0,0,65,524,3,0,0,0
Slovakia,SVK,2021-06-28,1,0,0,0,0,0,29,216,3,0,0,0
Slovakia,SVK,2021-07-12,0,0,0,0,0,0,159,81,2,0,0,0
Slovakia,SVK,2021-07-26,0,0,0,0,0,0,249,20,1,0,1,0
Slovakia,SVK,2021-08-09,0,0,0,0,0,0,368,4,0,0,0,0
Slovakia,SVK,2021-08-23,0,0,0,0,0,0,616,2,0,0,0,0
Slovakia,SVK,2021-09-06,0,0,0,0,0,0,781,0,0,0,0,0
Slovakia,SVK,2021-09-20,0,0,0,0,0,0,1185,0,0,0,0,0
Slovakia,SVK,2021-10-04,0,0,0,0,0,0,827,0,0,0,0,0
Slovakia,SVK,2021-10-18,0,0,0,0,0,0,1659,0,1,0,0,0
Slovakia,SVK,2021-11-01,0,0,0,0,0,0,1696,0,0,0,0,0
Slovakia,SVK,2021-11-15,0,0,0,0,0,0,1158,0,0,0,0,0
Slovenia,SVN,2020-07-06,0,0,0,0,0,0,0,0,52,0,0,0
Slovenia,SVN,2020-07-20,0,0,0,0,0,0,0,0,58,0,0,0
Slovenia,SVN,2020-08-03,0,0,0,0,0,0,0,0,65,0,0,0
Slovenia,SVN,2020-08-17,0,0,0,0,0,0,0,0,76,0,0,0
Slovenia,SVN,2020-08-31,0,0,0,0,0,0,0,0,101,0,0,0
Slovenia,SVN,2020-09-14,0,0,0,0,0,0,0,0,176,0,0,0
Slovenia,SVN,2020-09-28,0,0,0,0,0,0,0,0,168,0,0,0
Slovenia,SVN,2020-10-12,0,0,0,0,0,0,0,0,337,0,0,0
Slovenia,SVN,2020-10-26,0,0,0,0,0,0,0,0,331,0,0,0
Slovenia,SVN,2020-11-09,0,0,0,0,0,0,1,1,851,0,0,0
Slovenia,SVN,2020-11-23,0,0,0,0,0,0,0,2,96,0,0,0
Slovenia,SVN,2020-12-07,0,0,0,0,0,0,2,1,933,0,0,0
Slovenia,SVN,2020-12-21,0,0,0,0,0,0,0,3,840,0,0,0
Slovenia,SVN,2021-01-04,0,0,0,0,0,0,0,2,415,0,0,0
Slovenia,SVN,2021-01-11,0,0,0,0,0,0,1,1,646,0,0,0
Slovenia,SVN,2021-01-25,0,0,0,0,0,2,0,5,341,0,0,0
Slovenia,SVN,2021-02-08,0,0,0,0,0,9,0,27,1529,0,0,0
Slovenia,SVN,2021-02-22,8,0,0,0,0,12,0,126,1129,0,0,0
Slovenia,SVN,2021-03-08,15,0,1,0,0,10,0,250,1166,0,0,0
Slovenia,SVN,2021-03-22,7,0,0,0,0,12,0,653,620,0,0,0
